Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
924,2322,-1937592212,-1829841037
925,2322,-1474910055,1317518224
926,2285,-1302483712,1239404235
927,2291,-1109481740,-1249860267
928,2223,-867415186,1606624619
929,2347,-496825166,653988018
930,2229,-767115780,-1713929895
931,2254,1994737431,1971032138
932,2322,-1827003764,359324475
933,2353,981080198,229509509
934,2322,-573393554,939476525
935,2229,1539196083,1630575910
936,2384,-1639755721,-1936028951
937,2316,1581601609,-1280361539
938,2347,-476250712,1652073014
939,2316,-2009011616,795925634
940,2229,919688379,-1648601286
941,2260,1441617394,1712690904
942,2291,-1307067035,-297006048
943,2223,1248404780,-827139266
944,2229,-92636094,-1452605892
945,2378,1757183129,1380560582
946,2353,1739913143,174256682
947,2353,1382941523,840039084
948,2378,-1247221950,-33217120
949,2254,-1320306774,331135907
950,2378,1480821764,-1691895347
951,2316,298941535,-1596942138
952,2353,538679128,1361935639
953,2291,1678701250,318078869
954,2378,-257703323,-632162968
955,2347,-861598090,639297736
956,2347,-210022702,595359418
957,2291,2134407772,-1094539538
958,2353,-1790790022,-235555687
959,2260,-787342901,-1881407734
960,2316,1842066296,-1288541371
961,2378,108037770,-1165056535
962,2378,1784492889,-842762881
963,2316,912040284,2095610642
964,2254,2038393552,-1428794799
965,2291,1676377337,-395327411
966,2322,261655138,168771704
967,2347,-473289740,557787551
968,2229,-949523973,885747986
969,2347,1272731061,-443383592
970,2260,-1700673875,-682810703
971,2260,-1355931138,315333724
972,2291,1022107578,1439812618
973,2378,1589707530,-1812218578
974,2322,-1567172163,-717120342
975,2316,585907844,270165399
976,2322,-2103513306,-1710879424
977,2384,1146290880,-1832763118
978,2223,-1767326979,1244982234
979,2260,1599368430,-1058660988
980,2384,-1605623332,-1687828376
981,2316,-506189729,-856682923
982,2254,1200834377,1210713105
983,2229,-842371621,-881174758
984,2316,1450671674,-17777191
985,2285,1335724732,1152554580
986,2316,2023528238,1092163738
987,2347,-2100287297,-714921456
988,2254,465099630,233711263
989,2260,-912108172,-1688812328
990,2223,1665258169,1474549380
991,2378,583747470,-652562223
992,2353,-1722217333,-1387827718
993,2347,83378845,160474787
994,2223,1279092934,-141814124
995,2353,1950618316,-1699221850
996,2254,428687996,-392258178
997,2291,-426692354,-382808804
998,2316,1524792709,-976728189
999,2347,1862340066,2022837899
